OBJECTID,ZIPCODE2,ZIPNAME,EXISTING,ZIPCODE1,Shape_Length,Shape_Area
78,02400920736,Owings,MDPV2017_18,20736,73011.6735964732,108242225.245796
79,02400920754,Dunkirk,MDPV2017_18,20754,42737.577483472,59430115.3216489
80,02400920758,Friendship,MDPV2017_18,20758,5320.03749646101,887537.077155067
81,02401121629,Denton,MDPV2017_18,21629,207702.186306043,359673177.369512
82,02401121632,Federalsburg,MDPV2017_18,21632,111012.975116458,266107528.358838
83,02401121636,Goldsboro,MDPV2017_18,21636,76633.2587269627,99839857.6450415
84,02401121639,Greensboro,MDPV2017_18,21639,99970.1327521622,144399407.421933
85,02401121640,Henderson,MDPV2017_18,21640,72404.4916358937,84081102.8033887
86,02401121649,Marydel,MDPV2017_18,21649,38698.2710692223,44849431.1397697
87,02401121655,Preston,MDPV2017_18,21655,134885.015768613,229148149.56931
88,02401121657,Queen Anne,MDPV2017_18,21657,19514.8074257582,7564078.50541771
89,02401121660,Ridgely,MDPV2017_18,21660,79398.417162264,138656909.177004
90,02401321048,Finksburg,MDPV2017_18,21048,75995.5060825238,117124107.384093
91,02401321074,Hampstead,MDPV2017_18,21074,82846.341479791,125462543.955601
92,02401321102,Manchester,MDPV2017_18,21102,69898.6825975686,135053037.589022
93,02401321104,Marriottsville,MDPV2017_18,21104,32899.5175945385,29205917.5599606
94,02401321136,Reisterstown,MDPV2017_18,21136,14944.8078956008,9068093.22671536
95,02401321155,Upperco,MDPV2017_18,21155,20348.1929638083,9941560.68927056
96,02401321157,Westminster,MDPV2017_18,21157,148932.167177594,345912552.177848
97,02401321158,Westminster,MDPV2017_18,21158,107734.881593715,325019220.894486
98,02401321757,Keymar,MDPV2017_18,21757,59165.0487066843,80303975.6426658
99,02401321771,Mount Airy,MDPV2017_18,21771,60926.0640119787,96830051.7102475
100,02401321776,New Windsor,MDPV2017_18,21776,81558.476037572,123002033.435466
101,02401321784,Sykesville,MDPV2017_18,21784,92015.7960531253,199483562.436423
102,02401321787,Taneytown,MDPV2017_18,21787,97801.0597997111,232821382.650003
103,02401321791,Union Bridge,MDPV2017_18,21791,65124.0812755684,78089977.8251529
104,02401321797,Woodbine,MDPV2017_18,21797,55033.366182334,67176584.1215523
105,02401521901,North East,MDPV2017_18,21901,160535.130915993,208047495.585816
106,02401521903,Perryville,MDPV2017_18,21903,61940.8962697747,64651281.3357278
107,02401521904,Port Deposit,MDPV2017_18,21904,57476.1699362456,106355611.588842
108,02401521911,Rising Sun,MDPV2017_18,21911,85394.5820179365,161578410.977719
109,02401521912,Warwick,MDPV2017_18,21912,85120.5966907797,123677042.060687
110,02401521915,Chesapeake City,MDPV2017_18,21915,85992.6574811283,114262160.348942
111,02401521917,Colora,MDPV2017_18,21917,35177.7740752244,34776242.448386
112,02401521918,Conowingo,MDPV2017_18,21918,56469.4732758305,77853888.5938342
113,02401521919,Earleville,MDPV2017_18,21919,157798.182927257,210290878.234237
114,02401521921,Elkton,MDPV2017_18,21921,173232.971441604,422247523.605827
115,02401720601,Waldorf,MDPV2017_18,20601,98894.862145131,153733787.271776
116,02401720602,Waldorf,MDPV2017_18,20602,48756.2038714478,63464393.5233584
117,02401720603,Waldorf,MDPV2017_18,20603,51058.3955032704,69401993.9910176
118,02401720607,Accokeek,MDPV2017_18,20607,6696.63282452907,1980783.6610691
119,02401720611,Bel Alton,MDPV2017_18,20611,30812.4396949541,31246387.0068139
120,02401720612,Benedict,MDPV2017_18,20612,5603.13087870045,899184.239180162
121,02401720613,Brandywine,MDPV2017_18,20613,51955.8345715102,42272262.1489078
122,02401720616,Bryans Road,MDPV2017_18,20616,42673.409585952,45816170.1973584
123,02401720617,Bryantown,MDPV2017_18,20617,26562.6609137076,28930493.862681
124,02401720622,Charlotte Hall,MDPV2017_18,20622,98821.7468548567,134950497.634602
125,02401720625,Cobb Island,MDPV2017_18,20625,8425.39554723322,1982810.6664391
126,02401720632,Faulkner,MDPV2017_18,20632,33813.8693784572,28029643.0469009
127,02401720637,Hughesville,MDPV2017_18,20637,84712.1195124575,130860220.628049
128,02401720640,Indian Head,MDPV2017_18,20640,163631.635333911,155141514.46217
129,02401720645,Issue,MDPV2017_18,20645,14776.3421291717,5864235.48915463
130,02401720646,La Plata,MDPV2017_18,20646,208200.866131922,364366501.461384
131,02401720658,Marbury,MDPV2017_18,20658,27726.2354892907,16192638.5748797
132,02401720659,Mechanicsville,MDPV2017_18,20659,19300.3303457044,15867152.1687312
133,02401720662,Nanjemoy,MDPV2017_18,20662,104678.608272836,245750082.176043
134,02401720664,Newburg,MDPV2017_18,20664,154523.049784374,178646477.225684
135,02401720675,Pomfret,MDPV2017_18,20675,30670.9686948618,26720024.8457442
136,02401720677,Port Tobacco,MDPV2017_18,20677,69515.8368874937,61949775.4734001
137,02401720693,Welcome,MDPV2017_18,20693,88775.8629950265,81772599.7371147
138,02401720695,White Plains,MDPV2017_18,20695,59648.6417507707,64816426.5916824
139,02401921613,Cambridge,MDPV2017_18,21613,581975.570713191,707112467.024509
140,02401921622,Church Creek,MDPV2017_18,21622,270728.111074159,290583530.494561
141,02401921626,Crapo,MDPV2017_18,21626,79305.4470014916,75770164.2675726
142,02401921627,Crocheron,MDPV2017_18,21627,19183.4916101967,7056656.85050233
143,02401921631,East New Market,MDPV2017_18,21631,115046.766373215,110449806.477872
144,02401921632,Federalsburg,MDPV2017_18,21632,64195.6343042053,74399918.1294848
145,02401921634,Fishing Creek,MDPV2017_18,21634,98888.1059081929,20857648.0612049
146,02401921643,Hurlock,MDPV2017_18,21643,113804.541792479,190855761.210515
147,02401921648,Madison,MDPV2017_18,21648,52486.2691832899,57691704.1019409
148,02401921659,Rhodesdale,MDPV2017_18,21659,136579.980814669,224631490.354846
149,02401921669,Taylors Island,MDPV2017_18,21669,162063.428487282,86959898.5583669
150,02401921672,Toddville,MDPV2017_18,21672,154508.223412238,75078573.5752141
