"","Zip","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2020","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","Zip_total"
"62","21228",3,9,17,19,13,17,21,11,11,36,24,24,26,40,27,25,29,24,35,34,32,298
"63","20904",5,9,22,14,15,14,19,14,28,26,20,24,18,35,20,34,31,28,21,29,27,297
"64","20879",7,6,13,15,10,15,19,19,20,25,25,23,24,30,18,31,28,25,34,23,30,287
"65","21144",2,3,21,11,12,21,13,17,15,20,20,20,18,37,23,32,31,39,36,33,30,285
"66","20783",2,4,15,23,15,16,12,17,21,25,22,20,17,27,30,37,31,23,33,41,27,282
"67","20659",4,10,12,21,15,21,10,17,15,28,26,22,12,26,38,24,30,31,38,22,37,279
"68","21804",4,3,10,18,9,11,15,15,28,31,10,20,17,28,22,37,28,27,35,25,23,278
"69","21703",3,6,13,24,16,13,18,18,18,15,20,26,24,22,25,29,31,30,33,28,25,276
"70","21212",7,12,10,18,12,11,13,13,23,15,24,14,31,25,27,25,29,24,46,16,26,263
"71","20607",3,5,10,11,13,13,19,14,14,21,28,24,11,30,28,22,22,29,42,35,29,262
"72","21045",5,8,23,13,14,11,14,14,18,24,20,24,18,26,26,20,25,26,29,28,27,255
"73","21044",2,9,14,14,14,14,11,13,18,33,33,27,13,20,18,23,20,22,24,21,25,251
"74","20653",1,8,9,8,17,8,15,11,16,19,18,24,20,27,19,29,21,27,35,30,26,246
"75","20646",2,4,10,18,13,8,12,19,15,23,23,18,28,20,22,16,17,29,31,18,27,242
"76","20640",10,6,11,19,17,9,6,14,9,20,14,19,16,26,23,25,30,35,24,22,25,237
"77","21113",3,7,12,10,12,16,24,10,12,24,14,11,19,24,23,26,21,22,35,33,26,230
"78","21085",4,6,9,11,15,9,10,10,21,26,21,21,13,19,15,28,17,26,21,25,14,227
"79","21784",2,10,17,12,18,14,14,9,26,23,16,16,20,15,25,16,27,20,18,21,14,227
"80","20723",3,4,11,17,8,10,13,12,14,27,12,15,13,25,23,17,22,26,37,29,20,219
"81","21014",3,4,6,10,15,6,13,8,15,22,16,20,15,24,14,32,16,22,25,27,33,217
"82","21223",3,12,19,24,17,15,19,11,11,26,18,22,13,27,18,19,17,14,31,22,22,215
"83","20616",1,4,4,9,11,9,10,12,14,20,15,24,21,21,26,16,9,24,25,25,20,212
"84","21157",2,0,14,14,11,16,17,15,9,19,19,20,15,25,18,20,16,18,18,19,35,211
"85","20902",4,8,6,14,9,9,6,11,10,28,19,24,18,22,20,18,14,14,16,16,30,204
