Zip,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,zip_2022_total,zip_overall_total,OBJECTID,ZIPCODE2,ZIPNAME,EXISTING,Shape_Length,Shape_Area
20708,3,2,5,3,5,3,10,4,9,16,12,11,12,18,15,16,12,12,16,17,19,147,220,455,02403320708,Laurel,MDPV_2017_18,51534.4423701118,61866478.3017196
21613,2,6,6,9,6,3,2,10,11,9,8,16,14,9,14,9,16,17,12,13,19,135,211,139,02401921613,Cambridge,MDPV2017_18,581975.570713191,707112467.024509
21702,0,5,7,13,4,1,4,8,8,11,7,8,17,17,9,11,6,18,23,20,12,124,209,158,02402121702,Frederick,MDPV2017_18,81937.8092077792,199573503.970243
21409,2,5,11,9,11,5,6,6,13,13,7,10,6,9,18,14,5,11,11,13,23,118,208,508,02400321409,Annapolis,MDPV_2017_18,111226.543633582,61071628.6095981
21774,1,5,5,11,8,4,7,10,12,10,9,13,12,10,8,13,13,15,21,12,9,132,208,174,02402121774,New Market,MDPV2017_18,43189.3537988491,69962731.1827842
21012,0,2,2,11,4,9,6,10,7,7,12,13,7,11,16,7,8,10,23,16,20,114,201,507,02400321012,Arnold,MDPV_2017_18,53231.9567691964,41217326.2267221
21601,3,3,9,5,13,5,9,8,7,11,6,18,9,7,9,10,11,19,14,10,15,124,201,255,02404121601,Easton,MDPV2017_18,467704.219703543,481895198.421016
21037,0,1,10,9,5,3,8,6,9,9,6,7,12,13,11,14,12,9,20,17,17,116,198,514,02400321037,Edgewater,MDPV_2017_18,15762.9669753414,5597864.31459163
21037,0,1,10,9,5,3,8,6,9,9,6,7,12,13,11,14,12,9,20,17,17,116,198,527,02400321037,Edgewater,MDPV_2017_18,5823.1934053848,759151.606644432
21037,0,1,10,9,5,3,8,6,9,9,6,7,12,13,11,14,12,9,20,17,17,116,198,540,02400321037,Edgewater,MDPV_2017_18,122662.485865464,67980738.548036993
21205,11,4,12,8,11,7,3,4,3,16,8,12,8,9,9,10,7,13,11,12,18,102,196,314,02451021205,Baltimore,MDPV2017_18,23668.9049612242,8844893.83016902
20619,1,6,5,5,8,9,9,10,9,7,5,9,10,9,8,11,10,15,14,15,16,112,191,388,02403720619,California,MDPV_2017_18,76182.6111106691,71868756.349958
21102,1,2,10,8,5,8,2,5,10,13,5,6,7,13,12,8,8,14,17,19,18,103,191,25,02400521102,Manchester,MDPV2017_18,66224.6678931524,40004943.1038399
21102,1,2,10,8,5,8,2,5,10,13,5,6,7,13,12,8,8,14,17,19,18,103,191,92,02401321102,Manchester,MDPV2017_18,69898.6825975686,135053037.589022
21643,3,1,4,10,9,5,6,2,8,9,9,14,7,16,9,14,13,11,12,18,10,118,190,146,02401921643,Hurlock,MDPV2017_18,113804.541792479,190855761.210515
20732,0,1,4,6,9,4,8,11,7,8,2,8,11,18,12,9,10,11,18,13,18,115,188,77,02400920732,Chesapeake Beach,MDPV2017_18,43689.0957447893,44314865.8637972
20866,3,3,6,10,8,7,7,4,8,8,10,4,12,10,9,12,15,13,8,12,16,112,185,446,02403120866,Burtonsville,MDPV_2017_18,36224.5412079791,31773676.9193356
21911,1,3,9,7,6,7,16,11,12,11,3,13,6,11,11,9,10,10,9,12,8,123,185,108,02401521911,Rising Sun,MDPV2017_18,85394.5820179365,161578410.977719
20639,1,2,7,8,5,3,12,6,9,9,7,14,11,10,13,7,12,12,16,10,9,122,183,69,02400920639,Huntingtown,MDPV2017_18,84618.1914564093,186529130.161413
21219,1,3,5,5,5,11,8,5,5,12,9,11,6,13,7,12,11,13,10,9,22,112,183,49,02400521219,Sparrows Point,MDPV2017_18,86925.3198488551,46446782.5564566
21787,0,1,4,5,5,6,5,6,11,8,5,6,14,11,8,11,13,13,23,19,8,111,182,102,02401321787,Taneytown,MDPV2017_18,97801.0597997111,232821382.650003
21787,0,1,4,5,5,6,5,6,11,8,5,6,14,11,8,11,13,13,23,19,8,111,182,180,02402121787,Taneytown,MDPV2017_18,37536.7912313523,32601971.4498846
21788,2,1,9,8,7,8,9,6,4,10,9,14,7,9,10,12,7,4,15,14,16,101,181,181,02402121788,Thurmont,MDPV2017_18,105162.728925928,276389857.346293
21093,2,3,9,4,8,10,10,7,8,13,11,8,5,10,8,10,13,11,13,10,7,114,180,24,02400521093,Lutherville Timonium,MDPV2017_18,84276.6248839262,90272923.0969961
21043,1,5,4,8,8,4,9,9,7,13,9,8,6,13,11,13,6,16,6,10,13,120,179,15,02400521043,Ellicott City,MDPV2017_18,14559.5683064066,3633438.62030051
21043,1,5,4,8,8,4,9,9,7,13,9,8,6,13,11,13,6,16,6,10,13,120,179,354,02402721043,Ellicott City,MDPV_2017_18,55896.260162935,72005248.8412803
21209,3,4,10,5,6,6,9,9,10,14,11,7,10,16,8,11,5,11,8,12,4,121,179,45,02400521209,Baltimore,MDPV2017_18,19934.4184057995,15639345.5013646
21209,3,4,10,5,6,6,9,9,10,14,11,7,10,16,8,11,5,11,8,12,4,121,179,318,02451021209,Mt Washington,MDPV2017_18,24091.2796854239,13242876.8172387
20737,2,1,8,4,7,4,3,8,7,10,6,5,13,13,7,11,11,11,15,15,15,105,176,498,02403320737,Riverdale,MDPV_2017_18,23475.5092607856,13918187.0873196
21202,2,3,10,7,5,2,3,8,6,9,11,7,8,13,8,11,15,9,16,13,9,108,175,313,02451021202,Baltimore,MDPV2017_18,20811.3205250996,6949843.61513861
21108,2,3,10,6,6,4,11,8,8,8,15,7,10,7,8,7,10,14,8,11,11,113,174,546,02400321108,Millersville,MDPV_2017_18,69392.0440232387,58532547.4938481
20854,4,1,5,7,3,5,10,8,10,15,5,5,8,12,7,12,10,14,15,7,8,116,171,438,02403120854,Potomac,MDPV_2017_18,78118.361942322,159832420.574139
21632,3,3,7,5,4,10,7,6,7,9,3,8,4,11,6,10,14,16,16,9,10,101,168,82,02401121632,Federalsburg,MDPV2017_18,111012.975116458,266107528.358838
21632,3,3,7,5,4,10,7,6,7,9,3,8,4,11,6,10,14,16,16,9,10,101,168,144,02401921632,Federalsburg,MDPV2017_18,64195.6343042053,74399918.1294848
20685,1,3,3,6,7,6,5,6,5,9,7,14,10,12,11,10,8,11,13,6,12,108,165,73,02400920685,Saint Leonard,MDPV2017_18,94120.1742985295,96881867.7498422
20832,2,1,7,6,5,6,11,3,8,9,8,14,4,8,11,9,12,9,12,5,13,106,163,410,02403120832,Olney,MDPV_2017_18,41140.6239808056,42582687.0296451
21550,7,4,10,4,10,6,6,4,6,8,8,17,4,5,7,9,11,11,11,5,8,96,161,196,02402321550,Oakland,MDPV2017_18,172416.333600258,906600382.222706
20850,0,4,12,9,5,4,5,5,9,9,4,8,4,12,6,13,15,7,9,6,14,97,160,437,02403120850,Rockville,MDPV_2017_18,55004.4147418082,59267414.5597703
20740,1,2,8,7,6,9,8,6,4,10,6,8,7,11,7,9,9,5,5,12,19,90,159,482,02403320740,College Park,MDPV_2017_18,44037.7516624678,37062127.9403959
21875,0,4,3,4,8,1,8,4,9,8,5,9,7,12,7,5,10,15,21,12,7,99,159,299,02404521875,Delmar,MDPV2017_18,70728.3995920498,98467408.6102357
20905,0,0,5,8,8,7,3,2,5,3,8,7,6,16,9,19,11,9,9,7,10,98,152,445,02403120905,Silver Spring,MDPV_2017_18,72598.6509692567,52731119.8767044
21231,3,4,3,4,5,4,10,5,6,3,9,12,11,10,7,8,11,6,10,10,7,98,148,337,02451021231,Baltimore,MDPV2017_18,14529.0896789253,3571275.09933219
21532,2,3,7,7,6,3,5,3,6,6,7,4,8,6,10,7,10,13,13,6,16,85,148,4,02400121532,Frostburg,MDPV2017_18,58275.9507166473,188918095.795485
21532,2,3,7,7,6,3,5,3,6,6,7,4,8,6,10,7,10,13,13,6,16,85,148,191,02402321532,Frostburg,MDPV2017_18,101225.223476339,163250103.436762
21716,1,1,2,6,4,3,2,6,10,2,7,7,7,6,11,11,10,8,11,15,18,87,148,162,02402121716,Brunswick,MDPV2017_18,17990.6097135317,13085794.624868
21050,1,3,8,11,1,5,4,1,7,5,11,11,4,9,6,10,11,8,12,8,11,87,147,211,02402521050,Forest Hill,MDPV2017_18,63308.5930171821,125119946.396143
21042,1,5,3,7,2,7,8,6,9,4,7,6,8,10,11,11,10,4,12,10,5,94,146,360,02402721042,Ellicott City,MDPV_2017_18,73086.5382227489,160204871.736468
21617,0,3,1,7,7,9,2,5,5,6,7,6,4,9,15,10,13,7,9,13,6,89,144,232,02403521617,Centreville,MDPV2017_18,272049.899786391,470388845.469631
21211,0,3,5,10,5,7,3,5,6,8,6,12,10,10,6,11,3,7,10,7,9,87,143,320,02451021211,Baltimore,MDPV2017_18,17346.5557641232,8613473.26949877
21286,2,1,4,5,4,2,4,6,7,6,4,15,10,10,7,10,8,7,10,10,10,94,142,66,02400521286,Towson,MDPV2017_18,42481.1341687801,38282949.3236304
20769,3,1,3,8,5,7,3,2,5,10,6,5,10,7,6,7,4,12,16,12,9,77,141,477,02403320769,Glenn Dale,MDPV_2017_18,29672.5276356941,21505100.9629962
21128,1,6,6,9,6,4,3,4,7,7,6,6,5,9,12,7,7,11,7,7,11,84,141,30,02400521128,Perry Hall,MDPV2017_18,46881.4768548309,28973815.1785204
21146,2,4,4,3,2,3,2,9,3,3,9,6,10,12,8,11,15,15,4,10,6,103,141,547,02400321146,Severna Park,MDPV_2017_18,67758.7268437781,43941043.4329852
21704,0,0,3,4,7,1,9,5,8,17,6,4,6,7,10,5,4,10,16,10,9,91,141,160,02402121704,Frederick,MDPV2017_18,73667.4645657964,121005152.165768
20852,1,3,4,9,5,8,5,2,5,12,6,5,8,10,11,12,8,4,8,5,9,88,140,448,02403120852,Rockville,MDPV_2017_18,39395.375953906,37559451.8146858
20794,1,3,3,5,5,5,6,11,4,3,4,7,8,12,8,6,5,9,16,7,10,83,138,364,02402720794,Jessup,MDPV_2017_18,32353.1293119593,31196968.687301
20794,1,3,3,5,5,5,6,11,4,3,4,7,8,12,8,6,5,9,16,7,10,83,138,548,02400320794,Jessup,MDPV_2017_18,25906.5379689904,13692113.2117646
20781,0,4,2,4,5,7,5,6,6,8,5,6,7,10,6,14,8,12,11,5,6,93,137,467,02403320781,Hyattsville,MDPV_2017_18,11372.5981658341,4032485.15494752
20781,0,4,2,4,5,7,5,6,6,8,5,6,7,10,6,14,8,12,11,5,6,93,137,495,02403320781,Hyattsville,MDPV_2017_18,19602.3319883134,7089147.24056519
20912,1,2,4,7,6,4,2,3,3,10,2,5,4,11,9,9,3,12,9,7,24,73,137,432,02403120912,Takoma Park,MDPV_2017_18,18239.2516464756,9854270.11477157
20912,1,2,4,7,6,4,2,3,3,10,2,5,4,11,9,9,3,12,9,7,24,73,137,475,02403320912,Takoma Park,MDPV_2017_18,9682.7119432562,1307083.70759381
21793,2,2,4,6,0,2,6,2,6,13,2,5,8,11,8,8,14,9,9,11,9,92,137,184,02402121793,Walkersville,MDPV2017_18,52120.2436885463,94007960.8695899
21713,2,1,9,8,6,5,5,9,5,10,9,6,7,10,4,2,5,7,9,5,11,79,135,270,02404321713,Boonsboro,MDPV2017_18,83179.256497714,178290123.749119
21853,0,4,5,7,5,2,2,5,2,21,4,10,5,7,5,7,6,9,8,12,8,83,134,252,02403921853,Princess Anne,MDPV2017_18,171089.097998293,496019982.016808
20903,0,4,3,4,6,8,5,6,5,9,7,8,4,6,4,8,7,10,8,8,12,79,132,433,02403120903,Silver Spring,MDPV_2017_18,22578.4212038007,15137242.2446397
20903,0,4,3,4,6,8,5,6,5,9,7,8,4,6,4,8,7,10,8,8,12,79,132,471,02403320903,Silver Spring,MDPV_2017_18,6469.00475746976,844082.950326449
20634,1,0,4,3,5,6,2,5,4,7,4,6,9,11,4,9,9,10,10,11,10,80,130,392,02403720634,Great Mills,MDPV_2017_18,53123.7310745639,30202555.0275965
21048,1,2,4,4,5,5,3,5,7,2,7,8,8,7,4,8,7,14,8,8,12,80,129,90,02401321048,Finksburg,MDPV2017_18,75995.5060825238,117124107.384093
21620,3,6,1,7,3,2,1,7,5,5,9,9,8,12,12,5,9,8,5,7,5,90,129,223,02402921620,Chestertown,MDPV2017_18,271184.768192669,384036746.138427
21620,3,6,1,7,3,2,1,7,5,5,9,9,8,12,12,5,9,8,5,7,5,90,129,234,02403521620,Chestertown,MDPV2017_18,92246.4939875861,129385295.5986
20722,2,2,4,4,3,9,3,4,5,7,6,4,5,5,8,11,6,6,12,9,13,70,128,464,02403320722,Brentwood,MDPV_2017_18,13259.2381252577,6836357.43947956
21639,0,3,0,8,4,4,3,4,6,7,9,5,11,8,6,4,8,8,10,9,11,79,128,84,02401121639,Greensboro,MDPV2017_18,99970.1327521622,144399407.421933
21226,0,3,5,6,5,7,7,5,6,10,5,4,7,5,5,7,5,12,9,7,6,78,126,332,02451021226,Curtis Bay,MDPV2017_18,57396.6781763041,20506172.5633801
21226,0,3,5,6,5,7,7,5,6,10,5,4,7,5,5,7,5,12,9,7,6,78,126,502,02400321226,Curtis Bay,MDPV_2017_18,12201.5329735944,5979000.42108574
21226,0,3,5,6,5,7,7,5,6,10,5,4,7,5,5,7,5,12,9,7,6,78,126,544,02400321226,Curtis Bay,MDPV_2017_18,42952.1056055241,18204747.9726862
20851,1,1,5,8,3,6,7,2,5,8,7,6,5,7,8,10,9,5,6,4,11,79,124,422,02403120851,Rockville,MDPV_2017_18,15236.0084406828,10491571.3360306
21017,0,2,7,3,4,4,5,5,2,11,9,8,4,7,7,8,6,7,6,11,6,79,122,206,02402521017,Belcamp,MDPV2017_18,17738.6479420423,10506022.1421114
20910,0,1,8,3,5,2,6,3,6,5,7,1,10,10,7,9,5,7,7,9,7,76,118,425,02403120910,Silver Spring,MDPV_2017_18,28159.8564939176,19548808.7437581
21030,0,3,4,5,3,6,2,3,6,8,7,4,8,6,10,11,2,6,6,7,11,73,118,13,02400521030,Cockeysville,MDPV2017_18,95693.9133553603,102445588.228076
21638,0,2,12,8,2,3,5,2,4,5,6,7,6,6,6,3,6,12,11,6,6,68,118,236,02403521638,Grasonville,MDPV2017_18,101645.190726363,39263051.4622807
21903,1,3,1,3,1,2,3,7,1,4,5,10,6,5,8,8,8,6,15,11,9,71,117,106,02401521903,Perryville,MDPV2017_18,61940.8962697747,64651281.3357278
21783,2,2,1,1,4,4,6,2,9,5,10,6,3,5,7,11,2,12,4,10,10,78,116,179,02402121783,Smithsburg,MDPV2017_18,37510.5370202663,49583348.3396156
21783,2,2,1,1,4,4,6,2,9,5,10,6,3,5,7,11,2,12,4,10,10,78,116,284,02404321783,Smithsburg,MDPV2017_18,70398.4897448962,152564329.036357
20882,1,3,3,3,2,1,2,4,3,6,5,4,4,6,9,7,13,9,9,13,7,72,114,439,02403120882,Gaithersburg,MDPV_2017_18,84901.4240126987,163472460.672217
20636,3,1,6,4,6,15,9,2,5,4,6,8,5,4,4,4,2,5,10,3,5,58,111,382,02403720636,Hollywood,MDPV_2017_18,108913.907566468,135974695.19073
21054,0,1,4,4,6,5,2,11,5,5,5,5,4,5,9,12,5,4,7,4,5,72,108,528,02400321054,Gambrills,MDPV_2017_18,100170.52612137,72915903.6978732
20650,0,0,3,5,3,5,4,8,8,7,1,7,4,6,9,2,6,5,12,10,2,67,107,389,02403720650,Leonardtown,MDPV_2017_18,217342.780232717,258843658.711065
21817,1,0,2,7,5,6,5,7,4,6,4,3,3,12,6,6,7,7,6,4,5,70,106,246,02403921817,Crisfield,MDPV2017_18,452131.474987324,96400755.9664164
21046,2,4,3,4,2,3,3,5,5,6,5,7,4,10,5,4,6,10,11,4,2,70,105,352,02402721046,Columbia,MDPV_2017_18,34287.5457013841,35018346.6808075
21162,3,1,0,4,2,0,1,5,6,7,5,4,6,4,10,5,8,5,9,10,7,66,102,39,02400521162,White Marsh,MDPV2017_18,46672.5584964456,34803040.5361782
20872,0,1,3,6,1,2,6,9,4,5,7,5,5,7,6,7,5,4,8,7,3,70,101,398,02403120872,Damascus,MDPV_2017_18,59966.9793059788,86572161.777623
21047,0,1,2,3,6,3,3,1,2,5,4,6,6,12,4,7,6,5,5,10,10,61,101,210,02402521047,Fallston,MDPV2017_18,76845.832281008,101886228.888842
20623,0,1,4,4,4,2,1,3,5,9,5,3,7,8,7,6,10,6,8,5,2,70,100,480,02403320623,Cheltenham,MDPV_2017_18,18279.5175699662,12258389.4188586
20855,1,0,2,3,5,4,7,5,3,4,7,5,6,8,4,7,4,8,5,5,3,68,96,409,02403120855,Derwood,MDPV_2017_18,49003.2488478875,59192395.0502492
20714,1,1,3,6,4,7,2,8,5,5,0,5,8,3,4,3,3,6,9,6,5,52,94,76,02400920714,North Beach,MDPV2017_18,9096.9601765915,3750335.7351985
20714,1,1,3,6,4,7,2,8,5,5,0,5,8,3,4,3,3,6,9,6,5,52,94,524,02400320714,North Beach,MDPV_2017_18,9657.63301758745,2887341.90414984
21904,1,2,2,1,5,4,2,3,2,5,4,3,2,10,10,5,5,10,9,5,3,61,93,107,02401521904,Port Deposit,MDPV2017_18,57476.1699362456,106355611.588842
20637,0,3,6,2,1,4,3,3,1,2,4,5,5,8,6,5,6,8,3,7,10,56,92,127,02401720637,Hughesville,MDPV2017_18,84712.1195124575,130860220.628049
20817,1,2,2,5,5,8,5,6,6,5,3,2,3,6,2,3,5,2,6,9,6,48,92,443,02403120817,Bethesda,MDPV_2017_18,53603.3453136026,60689957.8663101
21090,2,1,1,6,4,6,3,4,3,4,4,3,6,4,5,3,3,2,9,8,11,44,92,501,02400321090,Linthicum Heights,MDPV_2017_18,25901.06640214,28351061.5419995
21851,1,2,6,2,4,4,4,0,3,2,4,5,6,3,2,10,8,3,9,7,7,50,92,251,02403921851,Pocomoke City,MDPV2017_18,53883.0015131721,82974003.0816837
21851,1,2,6,2,4,4,4,0,3,2,4,5,6,3,2,10,8,3,9,7,7,50,92,307,02404721851,Pocomoke City,MDPV2017_18,119035.039931791,380226177.215286
21782,1,0,5,4,3,7,5,0,6,5,7,2,3,5,5,7,10,4,5,3,4,59,91,283,02404321782,Sharpsburg,MDPV2017_18,103262.063101718,150453937.880905
21769,0,1,3,6,0,4,4,1,3,7,3,4,1,6,5,6,5,7,10,7,4,52,87,170,02402121769,Middletown,MDPV2017_18,81922.4720439335,182426571.919145
21769,0,1,3,6,0,4,4,1,3,7,3,4,1,6,5,6,5,7,10,7,4,52,87,280,02404321769,Middletown,MDPV2017_18,7958.57327604521,1740852.2026857
21619,1,0,4,3,4,3,1,3,1,8,6,6,6,3,6,4,2,3,8,8,5,49,85,233,02403521619,Chester,MDPV2017_18,122012.071830163,41663477.4033121
21795,0,1,4,7,3,4,1,6,6,4,3,6,2,7,6,3,5,6,2,0,6,55,82,285,02404321795,Williamsport,MDPV2017_18,80977.6156871518,142100267.947424
20736,2,3,3,5,2,3,2,4,4,2,2,1,3,2,4,7,4,7,8,6,6,42,80,78,02400920736,Owings,MDPV2017_18,73011.6735964732,108242225.245796
20736,2,3,3,5,2,3,2,4,4,2,2,1,3,2,4,7,4,7,8,6,6,42,80,536,02400320736,Owings,MDPV_2017_18,19876.6403798011,4209252.82803686
20676,1,1,3,0,2,1,4,2,4,5,2,5,6,6,3,11,4,7,4,4,4,59,79,71,02400920676,Port Republic,MDPV2017_18,59700.1877879451,59569032.639938
21758,0,0,8,2,2,1,3,0,5,2,2,4,6,8,6,6,7,4,7,2,4,53,79,169,02402121758,Knoxville,MDPV2017_18,51929.4845358789,80583988.8730642
21758,0,0,8,2,2,1,3,0,5,2,2,4,6,8,6,6,7,4,7,2,4,53,79,278,02404321758,Knoxville,MDPV2017_18,44391.6002405386,73571617.1669692
20895,5,0,3,5,6,2,2,1,7,3,1,4,3,5,6,6,3,5,3,5,2,46,77,424,02403120895,Kensington,MDPV_2017_18,22698.443286828,15994019.8816851
20895,5,0,3,5,6,2,2,1,7,3,1,4,3,5,6,6,3,5,3,5,2,46,77,449,02403120895,Kensington,MDPV_2017_18,7785.69231909666,2189963.53774555
20764,0,1,1,1,6,2,1,2,2,4,1,4,4,7,9,4,5,6,5,6,5,49,76,516,02400320764,Shady Side,MDPV_2017_18,36108.9793082255,16041385.2028017
21562,2,2,6,3,2,3,2,3,3,4,1,4,5,6,3,5,5,3,6,5,3,44,76,10,02400121562,Westernport,MDPV2017_18,45380.1992314589,54008206.6014767
21562,2,2,6,3,2,3,2,3,3,4,1,4,5,6,3,5,5,3,6,5,3,44,76,198,02402321562,Westernport,MDPV2017_18,30194.6702996949,33161137.7771691
21154,4,2,3,2,1,6,5,1,5,5,3,4,4,4,5,4,2,3,3,2,6,45,74,219,02402521154,Street,MDPV2017_18,103860.382523287,171787579.839218
21776,1,0,6,6,0,0,1,3,4,9,1,3,2,3,4,4,7,3,7,4,6,44,74,100,02401321776,New Windsor,MDPV2017_18,81558.476037572,123002033.435466
21776,1,0,6,6,0,0,1,3,4,9,1,3,2,3,4,4,7,3,7,4,6,44,74,175,02402121776,New Windsor,MDPV2017_18,32034.286374733,36802527.9282452
21032,1,1,2,4,1,3,1,2,5,3,3,4,3,5,6,6,6,5,3,1,8,49,73,541,02400321032,Crownsville,MDPV_2017_18,81021.6309558711,77167209.1109969
21754,0,1,5,3,2,2,3,1,4,4,5,3,3,2,5,3,6,4,7,4,6,43,73,166,02402121754,Ijamsville,MDPV2017_18,60130.263215298,98716830.6595021
20814,2,1,3,3,1,0,6,5,1,5,5,8,1,2,6,3,4,2,9,2,3,48,72,444,02403120814,Bethesda,MDPV_2017_18,42679.9052825899,19183381.6436109
21826,1,2,5,0,4,2,5,4,5,6,4,3,2,5,3,2,6,3,3,2,4,48,71,290,02404521826,Fruitland,MDPV2017_18,19941.7673816786,14984698.4860359
21722,0,0,1,2,2,3,3,5,6,8,2,4,4,2,4,1,1,6,5,6,5,46,70,272,02404321722,Clear Spring,MDPV2017_18,88115.4484045584,253529707.285481
21797,2,2,1,4,2,1,6,0,3,3,2,3,2,5,4,6,6,3,6,2,7,43,70,104,02401321797,Woodbine,MDPV2017_18,55033.366182334,67176584.1215523
21797,2,2,1,4,2,1,6,0,3,3,2,3,2,5,4,6,6,3,6,2,7,43,70,346,02402721797,Woodbine,MDPV_2017_18,60263.6215970118,127883345.287987
21797,2,2,1,4,2,1,6,0,3,3,2,3,2,5,4,6,6,3,6,2,7,43,70,400,02403121797,Woodbine,MDPV_2017_18,8068.65887753362,2837494.46990803
21756,1,1,2,2,2,5,3,5,2,7,1,1,3,4,5,4,3,7,7,2,2,45,69,277,02404321756,Keedysville,MDPV2017_18,58126.8175482743,91366800.2099546
21161,1,2,2,1,3,2,1,2,1,7,2,3,6,1,6,4,3,5,5,3,8,41,68,38,02400521161,White Hall,MDPV2017_18,56340.9619411719,99165850.8182752
21161,1,2,2,1,3,2,1,2,1,7,2,3,6,1,6,4,3,5,5,3,8,41,68,221,02402521161,White Hall,MDPV2017_18,59069.9464697858,115403385.481845
20710,0,3,1,0,2,2,3,1,1,5,2,5,3,4,9,6,2,7,4,4,3,48,67,492,02403320710,Bladensburg,MDPV_2017_18,15475.3463853856,4771418.20835603
21201,0,0,5,4,2,2,3,4,5,3,9,1,3,5,2,3,3,2,5,3,3,43,67,312,02451021201,Baltimore,MDPV2017_18,15484.8713979067,5728301.53366426
20833,0,1,5,2,5,0,1,2,3,3,4,2,5,3,6,5,3,3,3,6,4,40,66,349,02402720833,Brookeville,MDPV_2017_18,16636.3817860785,8676473.72355767
20833,0,1,5,2,5,0,1,2,3,3,4,2,5,3,6,5,3,3,3,6,4,40,66,442,02403120833,Brookeville,MDPV_2017_18,67575.8696767377,81151634.0589575
21791,0,3,2,0,2,2,2,1,4,2,1,3,4,4,7,6,4,6,3,2,8,44,66,103,02401321791,Union Bridge,MDPV2017_18,65124.0812755684,78089977.8251529
21791,0,3,2,0,2,2,2,1,4,2,1,3,4,4,7,6,4,6,3,2,8,44,66,183,02402121791,Union Bridge,MDPV2017_18,71417.7512856117,125943004.82519
21770,0,0,1,4,0,1,7,3,2,1,5,4,4,7,3,4,3,2,7,3,4,45,65,171,02402121770,Monrovia,MDPV2017_18,37795.0034253732,50227389.7379513
21750,1,0,2,1,6,5,2,2,1,4,1,5,0,5,2,1,5,2,2,4,13,30,64,276,02404321750,Hancock,MDPV2017_18,115972.641824012,269390473.647515
20815,2,0,0,0,2,2,3,2,3,4,6,5,8,7,5,1,1,2,4,3,3,47,63,426,02403120815,Chevy Chase,MDPV_2017_18,28991.8080177592,23633612.1702359
21660,2,0,1,4,5,0,2,2,2,2,3,2,3,5,6,2,3,5,5,6,3,37,63,89,02401121660,Ridgely,MDPV2017_18,79398.417162264,138656909.177004
20664,0,0,3,2,5,4,1,2,4,3,5,7,1,2,2,5,4,2,4,4,2,38,62,134,02401720664,Newburg,MDPV2017_18,154523.049784374,178646477.225684
20841,1,1,1,2,5,3,3,6,6,7,7,3,3,2,0,2,2,0,3,2,2,41,61,402,02403120841,Boyds,MDPV_2017_18,88767.1887532154,124426394.706138
21661,0,3,3,5,3,2,4,1,1,2,3,4,3,5,2,2,3,1,2,2,9,31,60,228,02402921661,Rock Hall,MDPV2017_18,225262.528094066,139557277.483018
20662,0,0,1,0,2,2,4,0,18,0,1,6,6,6,2,1,2,1,2,3,2,47,59,133,02401720662,Nanjemoy,MDPV2017_18,104678.608272836,245750082.176043
21545,0,0,5,1,3,2,1,1,3,2,1,1,1,6,5,5,3,11,5,2,1,40,59,7,02400121545,Mount Savage,MDPV2017_18,40565.1569591792,91713411.2998259
21863,0,1,1,3,1,2,2,1,2,5,2,2,4,4,3,7,2,5,3,3,6,39,59,309,02404721863,Snow Hill,MDPV2017_18,186572.537790195,482701870.53005
21919,0,2,3,3,1,5,3,4,2,5,2,3,3,3,6,4,4,2,1,1,2,41,59,113,02401521919,Earleville,MDPV2017_18,157798.182927257,210290878.234237
21084,0,0,2,2,3,1,3,1,3,1,3,5,5,4,5,3,4,2,4,3,3,39,57,214,02402521084,Jarrettsville,MDPV2017_18,69042.8557345168,111339282.782544
21623,0,0,1,3,0,1,4,2,3,6,3,1,5,3,3,7,4,5,2,1,2,46,56,235,02403521623,Church Hill,MDPV2017_18,98404.2663106699,142621858.125074
21850,1,1,1,4,0,1,3,2,2,5,3,3,1,4,2,1,4,7,7,3,1,37,56,295,02404521850,Pittsville,MDPV2017_18,70466.4238986408,122576026.820745
20622,1,0,2,3,3,1,3,3,0,3,3,4,1,4,3,3,3,3,5,3,4,33,55,124,02401720622,Charlotte Hall,MDPV2017_18,98821.7468548567,134950497.634602
20622,1,0,2,3,3,1,3,3,0,3,3,4,1,4,3,3,3,3,5,3,4,33,55,380,02403720622,Charlotte Hall,MDPV_2017_18,37308.8928993753,26039206.6912952
20754,0,1,4,2,3,1,10,5,1,3,1,3,2,2,3,3,1,0,1,2,7,34,55,79,02400920754,Dunkirk,MDPV2017_18,42737.577483472,59430115.3216489
20754,0,1,4,2,3,1,10,5,1,3,1,3,2,2,3,3,1,0,1,2,7,34,55,523,02400320754,Dunkirk,MDPV_2017_18,20021.4310835057,10583088.8226522
21087,1,0,0,2,1,1,0,2,0,0,1,5,1,7,4,5,6,4,3,3,8,35,54,23,02400521087,Kingsville,MDPV2017_18,49987.9636511691,58260944.9026667
21087,1,0,0,2,1,1,0,2,0,0,1,5,1,7,4,5,6,4,3,3,8,35,54,216,02402521087,Kingsville,MDPV2017_18,10854.7810310604,5160265.37797905
21655,2,2,2,3,2,1,2,2,1,2,2,2,4,6,3,3,3,3,5,2,2,33,54,87,02401121655,Preston,MDPV2017_18,134885.015768613,229148149.56931
21163,1,1,0,4,1,3,2,2,3,1,1,2,3,3,3,6,3,3,2,4,5,32,53,40,02400521163,Woodstock,MDPV2017_18,40263.2713334053,41968181.4140765
