Zip,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,zip_2022_total,zip_overall_total,OBJECTID,ZIPCODE2,ZIPNAME,EXISTING,Shape_Length,Shape_Area
21117,10,13,28,21,33,22,34,26,28,40,35,44,46,63,45,56,44,64,67,52,57,525,828,28,02400521117,Owings Mills,MDPV2017_18,80502.8705295689,132329612.610283
21239,6,13,24,28,31,21,35,24,31,47,38,44,55,51,48,57,43,51,68,58,53,524,826,61,02400521239,Baltimore,MDPV2017_18,8464.78483304686,3399594.24611949
21239,6,13,24,28,31,21,35,24,31,47,38,44,55,51,48,57,43,51,68,58,53,524,826,341,02451021239,Northwood,MDPV2017_18,14829.7828091429,9455119.12554834
21060,7,8,28,26,26,24,25,25,36,44,36,44,41,56,53,54,50,50,66,62,51,514,812,543,02400321060,Glen Burnie,MDPV_2017_18,82818.0014836649,53081911.3241274
20602,5,9,20,21,23,21,30,34,42,45,43,51,50,51,47,44,38,54,69,53,61,529,811,116,02401720602,Waldorf,MDPV2017_18,48756.2038714478,63464393.5233584
21921,3,12,26,42,28,21,24,19,24,47,34,47,35,50,51,54,64,48,61,57,63,497,810,114,02401521921,Elkton,MDPV2017_18,173232.971441604,422247523.605827
21701,13,13,21,29,24,39,25,20,49,51,41,52,40,45,48,46,53,46,63,46,34,516,798,157,02402121701,Frederick,MDPV2017_18,124707.233280968,166220063.607921
21224,9,27,45,34,23,25,25,31,36,50,36,39,32,44,39,41,41,44,50,56,48,458,775,53,02400521224,Baltimore,MDPV2017_18,16519.0378324645,10612803.8406402
21224,9,27,45,34,23,25,25,31,36,50,36,39,32,44,39,41,41,44,50,56,48,458,775,330,02451021224,Highlandtown,MDPV2017_18,45894.3401089008,29899548.8170765
20721,4,14,37,26,27,29,27,31,32,36,41,37,38,52,37,41,38,59,58,57,53,469,774,463,02403320721,Bowie,MDPV_2017_18,44673.0945983701,73083596.1967207
21218,13,20,24,33,25,29,42,26,32,42,32,42,35,50,50,36,43,56,54,54,35,486,773,327,02451021218,Baltimore,MDPV2017_18,22918.4455573215,18758869.2903275
21221,8,17,30,24,28,24,20,17,38,52,27,40,34,50,44,49,40,42,66,57,51,453,758,51,02400521221,Essex,MDPV2017_18,108729.4613244,65381115.6661275
21214,11,9,21,17,19,21,29,22,34,50,28,41,51,56,48,41,43,49,67,45,45,492,747,323,02451021214,Baltimore,MDPV2017_18,18536.2060466269,12361680.4812695
20874,11,14,31,22,38,18,32,22,37,52,36,38,35,39,39,40,39,38,50,46,64,447,741,404,02403120874,Germantown,MDPV_2017_18,75040.785295367,94619335.7968425
21244,11,9,19,31,14,21,33,27,32,45,36,40,24,57,42,44,32,45,64,41,47,457,714,63,02400521244,Windsor Mill,MDPV2017_18,39332.6819082529,62256880.9442504
20746,1,2,26,23,17,20,15,19,24,42,35,35,39,54,40,36,32,46,56,41,44,417,647,469,02403320746,Suitland,MDPV_2017_18,34946.7616586219,31572595.4834825
21040,4,6,21,22,17,19,28,30,25,34,30,40,34,46,35,37,29,51,43,42,43,419,636,209,02402521040,Edgewood,MDPV2017_18,38713.9952959437,34891894.7986609
21227,5,10,20,29,15,21,19,18,28,33,26,33,41,42,38,42,31,38,51,38,28,389,606,54,02400521227,Halethorpe,MDPV2017_18,35120.512931096,45430123.2808547
21227,5,10,20,29,15,21,19,18,28,33,26,33,41,42,38,42,31,38,51,38,28,389,606,333,02451021227,Halethorpe,MDPV2017_18,12844.7539742566,1731874.12076386
20657,4,4,17,22,20,19,24,23,21,41,27,29,42,40,43,37,33,29,53,39,38,389,605,70,02400920657,Lusby,MDPV2017_18,111932.020614454,132860868.136888
21237,4,8,21,27,21,17,35,17,33,31,28,19,24,42,48,39,37,40,42,33,39,393,605,60,02400521237,Rosedale,MDPV2017_18,59786.8990326398,48743807.1254407
21237,4,8,21,27,21,17,35,17,33,31,28,19,24,42,48,39,37,40,42,33,39,393,605,340,02451021237,Rosedale,MDPV2017_18,9033.45548075286,2600110.16261195
21236,2,8,18,24,16,24,30,27,31,36,35,31,35,30,30,44,36,40,39,30,29,405,595,59,02400521236,Nottingham,MDPV2017_18,67632.3051798104,38778196.4256912
21236,2,8,18,24,16,24,30,27,31,36,35,31,35,30,30,44,36,40,39,30,29,405,595,339,02451021236,Nottingham,MDPV2017_18,3448.79101373013,663461.234740824
21502,8,17,23,17,17,15,26,20,32,35,29,31,25,35,33,41,38,36,43,28,44,381,593,1,02400121502,Cumberland,MDPV2017_18,161775.467550011,441770403.160813
21225,4,8,23,29,21,22,24,22,33,36,31,21,27,29,36,37,37,38,45,26,29,371,578,331,02451021225,Brooklyn,MDPV2017_18,22866.3180365271,10756224.8122768
21225,4,8,23,29,21,22,24,22,33,36,31,21,27,29,36,37,37,38,45,26,29,371,578,500,02400321225,Brooklyn,MDPV_2017_18,17561.4264203924,17070126.1417071
20707,5,9,25,18,26,22,17,20,23,36,26,26,31,36,33,35,33,28,41,39,38,344,567,420,02403120707,Laurel,MDPV_2017_18,6563.08531532264,2278346.00240619
20707,5,9,25,18,26,22,17,20,23,36,26,26,31,36,33,35,33,28,41,39,38,344,567,454,02403320707,Laurel,MDPV_2017_18,40520.1281869782,54115922.7616916
20906,7,11,19,24,22,16,29,26,23,29,31,23,30,42,33,33,25,42,44,32,23,366,564,419,02403120906,Silver Spring,MDPV_2017_18,50357.1744718631,53150089.0060022
21208,7,8,13,16,24,10,21,15,22,31,32,29,20,42,38,35,31,39,47,41,42,355,563,44,02400521208,Pikesville,MDPV2017_18,52521.8873357084,56053917.0133329
21208,7,8,13,16,24,10,21,15,22,31,32,29,20,42,38,35,31,39,47,41,42,355,563,317,02451021208,Pikesville,MDPV2017_18,5451.67920917752,835532.836970866
20613,7,6,23,10,15,14,30,7,18,19,28,32,34,44,36,36,44,34,40,41,40,362,558,121,02401720613,Brandywine,MDPV2017_18,51955.8345715102,42272262.1489078
20613,7,6,23,10,15,14,30,7,18,19,28,32,34,44,36,36,44,34,40,41,40,362,558,472,02403320613,Brandywine,MDPV_2017_18,7667.20831830121,2282932.56223939
20613,7,6,23,10,15,14,30,7,18,19,28,32,34,44,36,36,44,34,40,41,40,362,558,486,02403320613,Brandywine,MDPV_2017_18,101629.990225252,290357705.444571
21230,6,11,15,23,24,17,16,16,28,37,28,36,29,33,21,32,27,30,40,39,45,333,553,336,02451021230,Morrell Park,MDPV2017_18,59904.4170754399,27340035.198943
20720,8,7,16,15,12,13,22,16,29,27,23,32,26,35,31,35,18,42,49,37,51,336,544,476,02403320720,Bowie,MDPV_2017_18,58613.6024443547,50892171.7177158
21001,3,6,13,19,19,23,16,18,23,37,22,26,25,32,30,34,40,31,46,49,28,334,540,199,02402521001,Aberdeen,MDPV2017_18,82761.5014410499,132893570.657036
21009,3,5,14,15,21,14,25,19,15,33,26,24,21,24,30,40,38,37,45,45,46,332,540,201,02402521009,Abingdon,MDPV2017_18,41283.0858913168,47155419.9560121
20745,4,5,15,19,17,10,22,23,25,29,22,29,31,43,35,35,34,30,39,36,30,358,533,496,02403320745,Oxon Hill,MDPV_2017_18,31599.6261304414,34854485.177272
20716,3,6,19,18,21,22,9,20,23,37,21,26,23,30,28,33,31,30,51,41,40,311,532,488,02403320716,Bowie,MDPV_2017_18,33142.4737548474,49859906.1356641
20784,5,12,16,21,19,18,15,20,21,37,31,29,26,35,22,33,20,33,33,49,37,322,532,493,02403320784,Hyattsville,MDPV_2017_18,38712.5289075229,16979513.3435979
20705,8,3,12,22,16,14,25,17,22,30,20,31,17,26,41,35,27,33,40,35,50,324,524,481,02403320705,Beltsville,MDPV_2017_18,62319.4060397612,83364220.9330422
21217,4,2,19,20,16,15,25,24,16,28,23,27,17,39,35,23,27,33,36,34,52,317,515,326,02451021217,Druid,MDPV2017_18,19679.6589345291,13691930.189235
21136,6,7,16,16,18,15,17,18,21,32,31,26,21,32,20,30,29,31,41,35,33,308,495,33,02400521136,Reisterstown,MDPV2017_18,111199.692732871,237848076.464676
21136,6,7,16,16,18,15,17,18,21,32,31,26,21,32,20,30,29,31,41,35,33,308,495,94,02401321136,Reisterstown,MDPV2017_18,14944.8078956008,9068093.22671536
20695,3,4,8,15,12,10,17,15,22,25,19,16,29,38,33,33,39,35,44,39,35,321,491,138,02401720695,White Plains,MDPV2017_18,59648.6417507707,64816426.5916824
20715,4,3,16,12,19,17,15,15,24,25,29,22,25,40,23,24,28,34,38,40,37,304,490,458,02403320715,Bowie,MDPV_2017_18,38528.87842904,59674292.6252112
21228,3,9,17,19,13,17,21,11,11,36,24,24,26,40,27,25,29,24,35,34,32,298,477,55,02400521228,Catonsville,MDPV2017_18,47743.4772268292,66786728.2774348
21228,3,9,17,19,13,17,21,11,11,36,24,24,26,40,27,25,29,24,35,34,32,298,477,334,02451021228,Catonsville,MDPV2017_18,4065.94466135122,332127.757755858
20659,4,10,12,21,15,21,10,17,15,28,26,22,12,26,38,24,30,31,38,22,37,279,459,132,02401720659,Mechanicsville,MDPV2017_18,19300.3303457044,15867152.1687312
20659,4,10,12,21,15,21,10,17,15,28,26,22,12,26,38,24,30,31,38,22,37,279,459,381,02403720659,Mechanicsville,MDPV_2017_18,150301.891928574,404869121.137417
20783,2,4,15,23,15,16,12,17,21,25,22,20,17,27,30,37,31,23,33,41,27,282,458,485,02403320783,Hyattsville,MDPV_2017_18,39009.0509164907,25103166.0574149
21144,2,3,21,11,12,21,13,17,15,20,20,20,18,37,23,32,31,39,36,33,30,285,454,545,02400321144,Severn,MDPV_2017_18,56952.4654039276,70429882.1760654
20904,5,9,22,14,15,14,19,14,28,26,20,24,18,35,20,34,31,28,21,29,27,297,453,421,02403120904,Silver Spring,MDPV_2017_18,40321.4644286186,57859923.1996076
20904,5,9,22,14,15,14,19,14,28,26,20,24,18,35,20,34,31,28,21,29,27,297,453,456,02403320904,Silver Spring,MDPV_2017_18,2726.43351156066,273615.535970351
20904,5,9,22,14,15,14,19,14,28,26,20,24,18,35,20,34,31,28,21,29,27,297,453,457,02403320904,Silver Spring,MDPV_2017_18,3807.28021568251,532843.007409025
20879,7,6,13,15,10,15,19,19,20,25,25,23,24,30,18,31,28,25,34,23,30,287,440,405,02403120879,Gaithersburg,MDPV_2017_18,7385.15857027837,1862038.1490088
20879,7,6,13,15,10,15,19,19,20,25,25,23,24,30,18,31,28,25,34,23,30,287,440,406,02403120879,Gaithersburg,MDPV_2017_18,4922.35670454911,592378.650910643
20879,7,6,13,15,10,15,19,19,20,25,25,23,24,30,18,31,28,25,34,23,30,287,440,408,02403120879,Gaithersburg,MDPV_2017_18,33526.4973409984,24547239.4361968
20879,7,6,13,15,10,15,19,19,20,25,25,23,24,30,18,31,28,25,34,23,30,287,440,441,02403120879,Gaithersburg,MDPV_2017_18,13565.5413692557,6948772.86507925
21703,3,6,13,24,16,13,18,18,18,15,20,26,24,22,25,29,31,30,33,28,25,276,437,159,02402121703,Frederick,MDPV2017_18,77877.4772064973,147547106.235666
20607,3,5,10,11,13,13,19,14,14,21,28,24,11,30,28,22,22,29,42,35,29,262,423,118,02401720607,Accokeek,MDPV2017_18,6696.63282452907,1980783.6610691
20607,3,5,10,11,13,13,19,14,14,21,28,24,11,30,28,22,22,29,42,35,29,262,423,483,02403320607,Accokeek,MDPV_2017_18,60407.3590541485,86928964.5940242
21212,7,12,10,18,12,11,13,13,23,15,24,14,31,25,27,25,29,24,46,16,26,263,421,47,02400521212,Baltimore,MDPV2017_18,16515.2619073594,9164750.19292833
21212,7,12,10,18,12,11,13,13,23,15,24,14,31,25,27,25,29,24,46,16,26,263,421,321,02451021212,Govans,MDPV2017_18,17015.8305103301,10828682.1907797
21804,4,3,10,18,9,11,15,15,28,31,10,20,17,28,22,37,28,27,35,25,23,278,416,287,02404521804,Salisbury,MDPV2017_18,83336.7254594267,230746887.417196
21804,4,3,10,18,9,11,15,15,28,31,10,20,17,28,22,37,28,27,35,25,23,278,416,301,02404721804,Salisbury,MDPV2017_18,52789.4583761351,122302387.407155
21045,5,8,23,13,14,11,14,14,18,24,20,24,18,26,26,20,25,26,29,28,27,255,413,350,02402721045,Columbia,MDPV_2017_18,30275.168918886,42405455.3365614
20653,1,8,9,8,17,8,15,11,16,19,18,24,20,27,19,29,21,27,35,30,26,246,388,379,02403720653,Lexington Park,MDPV_2017_18,129397.338848812,139473459.731065
21044,2,9,14,14,14,14,11,13,18,33,33,27,13,20,18,23,20,22,24,21,25,251,388,361,02402721044,Columbia,MDPV_2017_18,35614.4724335112,53541519.8170262
21113,3,7,12,10,12,16,24,10,12,24,14,11,19,24,23,26,21,22,35,33,26,230,384,505,02400321113,Odenton,MDPV_2017_18,62248.7586146708,64737177.7782459
20640,10,6,11,19,17,9,6,14,9,20,14,19,16,26,23,25,30,35,24,22,25,237,380,128,02401720640,Indian Head,MDPV2017_18,163631.635333911,155141514.46217
21223,3,12,19,24,17,15,19,11,11,26,18,22,13,27,18,19,17,14,31,22,22,215,380,329,02451021223,Franklin,MDPV2017_18,18113.9430277898,10663923.1584032
20646,2,4,10,18,13,8,12,19,15,23,23,18,28,20,22,16,17,29,31,18,27,242,373,130,02401720646,La Plata,MDPV2017_18,208200.866131922,364366501.461384
20723,3,4,11,17,8,10,13,12,14,27,12,15,13,25,23,17,22,26,37,29,20,219,358,368,02402720723,Laurel,MDPV_2017_18,45581.5216471694,59108919.4485597
21784,2,10,17,12,18,14,14,9,26,23,16,16,20,15,25,16,27,20,18,21,14,227,353,101,02401321784,Sykesville,MDPV2017_18,92015.7960531253,199483562.436423
21784,2,10,17,12,18,14,14,9,26,23,16,16,20,15,25,16,27,20,18,21,14,227,353,345,02402721784,Sykesville,MDPV_2017_18,31605.2368437778,44473955.5498118
21014,3,4,6,10,15,6,13,8,15,22,16,20,15,24,14,32,16,22,25,27,33,217,346,204,02402521014,Bel Air,MDPV2017_18,47036.2408556582,60598684.5132946
21085,4,6,9,11,15,9,10,10,21,26,21,21,13,19,15,28,17,26,21,25,14,227,341,22,02400521085,Joppa,MDPV2017_18,8592.47607174057,3687751.72015305
21085,4,6,9,11,15,9,10,10,21,26,21,21,13,19,15,28,17,26,21,25,14,227,341,215,02402521085,Joppa,MDPV2017_18,81758.608107454,78758268.8940995
21157,2,0,14,14,11,16,17,15,9,19,19,20,15,25,18,20,16,18,18,19,35,211,340,96,02401321157,Westminster,MDPV2017_18,148932.167177594,345912552.177848
20878,4,7,10,19,8,8,18,15,16,12,13,14,15,15,20,15,23,25,21,22,25,201,325,436,02403120878,Gaithersburg,MDPV_2017_18,61342.8917169105,87667352.0523163
20616,1,4,4,9,11,9,10,12,14,20,15,24,21,21,26,16,9,24,25,25,20,212,320,122,02401720616,Bryans Road,MDPV2017_18,42673.409585952,45816170.1973584
21801,2,4,5,7,10,14,7,17,22,18,15,11,15,25,19,19,20,13,28,21,28,201,320,286,02404521801,Salisbury,MDPV2017_18,99486.7912540169,185144074.602163
20886,8,4,12,17,7,12,11,12,16,24,12,16,8,18,14,16,17,25,22,30,17,189,318,440,02403120886,Montgomery Village,MDPV_2017_18,39426.8093250674,17732533.2435397
20902,4,8,6,14,9,9,6,11,10,28,19,24,18,22,20,18,14,14,16,16,30,204,316,423,02403120902,Silver Spring,MDPV_2017_18,38578.0437905762,32208412.3531046
21742,0,12,13,8,16,9,11,10,11,15,14,18,15,17,15,24,14,19,34,19,15,183,309,275,02404321742,Hagerstown,MDPV2017_18,107477.552184396,206788204.390438
21078,3,2,10,14,12,9,9,16,10,14,14,18,15,23,21,22,22,19,22,19,14,203,308,212,02402521078,Havre De Grace,MDPV2017_18,81543.7172773279,129079595.861416
20782,3,5,7,13,9,10,15,12,15,18,23,17,13,17,13,23,16,13,22,17,21,195,302,494,02403320782,Hyattsville,MDPV_2017_18,25734.8446133023,17886461.9907206
21901,4,7,15,13,11,12,13,10,12,15,11,17,13,17,21,18,16,20,26,19,11,183,301,105,02401521901,North East,MDPV2017_18,160535.130915993,208047495.585816
21015,1,3,12,7,12,12,9,11,7,17,13,13,19,21,21,17,22,23,17,23,18,193,298,205,02402521015,Bel Air,MDPV2017_18,90134.2191691824,140159688.08163401
21075,2,1,3,7,11,14,9,13,4,21,14,18,16,21,13,18,14,18,23,19,21,179,280,358,02402721075,Elkridge,MDPV_2017_18,49834.8886280153,58842688.0943541
21771,3,8,10,9,11,2,17,12,16,25,6,12,12,17,13,12,13,21,19,17,24,176,279,99,02401321771,Mount Airy,MDPV2017_18,60926.0640119787,96830051.7102475
21771,3,8,10,9,11,2,17,12,16,25,6,12,12,17,13,12,13,21,19,17,24,176,279,172,02402121771,Mount Airy,MDPV2017_18,69787.4615752366,188174470.876287
21771,3,8,10,9,11,2,17,12,16,25,6,12,12,17,13,12,13,21,19,17,24,176,279,344,02402721771,Mount Airy,MDPV_2017_18,45487.3786062501,69182110.0587142
21771,3,8,10,9,11,2,17,12,16,25,6,12,12,17,13,12,13,21,19,17,24,176,279,397,02403121771,Mount Airy,MDPV_2017_18,21343.8341978411,10109217.6558778
21771,3,8,10,9,11,2,17,12,16,25,6,12,12,17,13,12,13,21,19,17,24,176,279,399,02403121771,Mount Airy,MDPV_2017_18,13117.8351507405,6431625.30990862
20724,5,2,8,9,8,2,8,8,13,17,13,10,16,19,18,20,13,17,18,22,26,172,272,504,02400320724,Laurel,MDPV_2017_18,33586.1593157725,33679050.8563765
21403,3,8,13,16,7,13,16,12,10,19,13,8,15,10,17,18,13,17,14,11,13,168,266,526,02400321403,Eastport,MDPV_2017_18,90071.5212742163,39594916.6702181
20770,0,2,8,18,9,7,9,8,12,15,10,13,17,19,14,9,19,15,18,22,20,160,264,459,02403320770,Greenbelt,MDPV_2017_18,29975.2698587074,21243355.8856579
20678,3,5,8,7,12,8,11,4,11,12,11,11,14,16,15,22,11,22,22,16,17,160,258,72,02400920678,Prince Frederick,MDPV2017_18,92935.9134245073,185368393.03940701
20871,3,5,3,5,8,2,7,8,14,12,15,13,12,17,14,14,21,18,20,15,24,165,250,156,02402120871,Clarksburg,MDPV2017_18,16782.9441503075,5907475.70554141
20871,3,5,3,5,8,2,7,8,14,12,15,13,12,17,14,14,21,18,20,15,24,165,250,450,02403120871,Clarksburg,MDPV_2017_18,71789.6209273971,85955706.2567984
21842,12,4,7,18,7,8,7,11,10,13,13,10,8,13,22,19,9,14,20,7,14,149,246,306,02404721842,Ocean City,MDPV2017_18,176220.103304519,39129752.3914293
21401,2,5,15,9,3,7,7,7,16,16,10,11,14,15,12,17,14,23,13,12,16,162,244,542,02400321401,Annapolis,MDPV_2017_18,118935.648559072,88795487.0283866
21158,1,1,6,11,12,9,11,11,15,17,8,11,21,12,18,13,11,12,13,12,13,160,238,97,02401321158,Westminster,MDPV2017_18,107734.881593715,325019220.894486
21114,1,1,11,7,9,8,8,4,7,8,15,9,13,16,21,17,9,17,18,15,22,144,236,509,02400321114,Crofton,MDPV_2017_18,33862.3138424249,21958551.4560998
20876,4,2,12,11,10,8,11,11,8,11,12,18,9,15,12,10,8,12,17,16,17,137,234,401,02403120876,Germantown,MDPV_2017_18,47464.3678345849,49704458.0938299
20901,3,3,4,12,7,9,14,9,11,16,18,11,9,12,17,8,9,19,11,15,17,153,234,431,02403120901,Silver Spring,MDPV_2017_18,24339.1379431494,24076987.0038342
