"","Zip","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2020","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023"
"281","21160",0,0,1,3,1,0,0,1,1,0,2,3,6,0,4,0,0,1,1,4,1
"282","21161",1,2,2,1,3,2,1,2,1,7,2,3,6,1,6,4,3,5,5,3,8
"283","21162",3,1,0,4,2,0,1,5,6,7,5,4,6,4,10,5,8,5,9,10,7
"284","21163",1,1,0,4,1,3,2,2,3,1,1,2,3,3,3,6,3,3,2,4,5
"285","21201",0,0,5,4,2,2,3,4,5,3,9,1,3,5,2,3,3,2,5,3,3
"286","21202",2,3,10,7,5,2,3,8,6,9,11,7,8,13,8,11,15,9,16,13,9
"287","21203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"288","21204",4,1,3,3,1,1,1,1,0,2,3,3,1,4,2,2,4,4,4,5,2
"289","21205",11,4,12,8,11,7,3,4,3,16,8,12,8,9,9,10,7,13,11,12,18
"290","21206",17,33,65,47,53,46,57,71,74,104,77,102,87,129,93,95,99,110,126,126,96
"291","21207",13,13,51,49,43,38,64,48,56,81,69,67,65,93,84,85,80,100,132,94,96
"292","21208",7,8,13,16,24,10,21,15,22,31,32,29,20,42,38,35,31,39,47,41,42
"293","21209",3,4,10,5,6,6,9,9,10,14,11,7,10,16,8,11,5,11,8,12,4
"294","21210",0,1,0,0,2,1,2,3,0,1,1,0,0,0,1,0,0,0,2,3,0
"295","21211",0,3,5,10,5,7,3,5,6,8,6,12,10,10,6,11,3,7,10,7,9
"296","21212",7,12,10,18,12,11,13,13,23,15,24,14,31,25,27,25,29,24,46,16,26
"297","21213",18,16,39,33,44,24,30,36,34,65,50,47,36,51,53,52,40,58,63,74,67
"298","21214",11,9,21,17,19,21,29,22,34,50,28,41,51,56,48,41,43,49,67,45,45
"299","21215",10,25,47,57,41,31,54,38,51,96,59,80,64,79,76,92,71,83,105,88,86
"300","21216",9,14,31,42,38,37,27,29,36,57,41,48,51,58,42,50,47,50,53,61,44
"301","21217",4,2,19,20,16,15,25,24,16,28,23,27,17,39,35,23,27,33,36,34,52
"302","21218",13,20,24,33,25,29,42,26,32,42,32,42,35,50,50,36,43,56,54,54,35
"303","21219",1,3,5,5,5,11,8,5,5,12,9,11,6,13,7,12,11,13,10,9,22
"304","21220",4,8,42,31,21,29,37,34,44,37,39,56,41,69,62,59,58,62,66,59,47
"305","21221",8,17,30,24,28,24,20,17,38,52,27,40,34,50,44,49,40,42,66,57,51
"306","21222",9,20,42,41,53,42,54,44,69,85,62,84,69,70,91,82,89,89,102,101,83
"307","21223",3,12,19,24,17,15,19,11,11,26,18,22,13,27,18,19,17,14,31,22,22
"308","21224",9,27,45,34,23,25,25,31,36,50,36,39,32,44,39,41,41,44,50,56,48
"309","21225",4,8,23,29,21,22,24,22,33,36,31,21,27,29,36,37,37,38,45,26,29
"310","21226",0,3,5,6,5,7,7,5,6,10,5,4,7,5,5,7,5,12,9,7,6
"311","21227",5,10,20,29,15,21,19,18,28,33,26,33,41,42,38,42,31,38,51,38,28
"312","21228",3,9,17,19,13,17,21,11,11,36,24,24,26,40,27,25,29,24,35,34,32
"313","21229",6,18,43,52,40,42,63,48,60,87,64,53,68,73,89,83,74,74,99,75,87
"314","21230",6,11,15,23,24,17,16,16,28,37,28,36,29,33,21,32,27,30,40,39,45
"315","21231",3,4,3,4,5,4,10,5,6,3,9,12,11,10,7,8,11,6,10,10,7
"316","21233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"317","21234",11,23,40,41,37,39,57,36,56,67,46,70,52,75,73,73,63,64,87,62,72
"318","21235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"319","21236",2,8,18,24,16,24,30,27,31,36,35,31,35,30,30,44,36,40,39,30,29
"320","21237",4,8,21,27,21,17,35,17,33,31,28,19,24,42,48,39,37,40,42,33,39
"321","21239",6,13,24,28,31,21,35,24,31,47,38,44,55,51,48,57,43,51,68,58,53
"322","21240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"323","21241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"324","21244",11,9,19,31,14,21,33,27,32,45,36,40,24,57,42,44,32,45,64,41,47
"325","21250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"326","21251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"327","21252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"328","21260",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"329","21286",2,1,4,5,4,2,4,6,7,6,4,15,10,10,7,10,8,7,10,10,10
"330","21287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"331","21307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"332","21401",2,5,15,9,3,7,7,7,16,16,10,11,14,15,12,17,14,23,13,12,16
"333","21402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"334","21403",3,8,13,16,7,13,16,12,10,19,13,8,15,10,17,18,13,17,14,11,13
"335","21405",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3
