"","Zip","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2020","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023"
"125","20779",0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,2,0,0
"126","20780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127","20781",0,4,2,4,5,7,5,6,6,8,5,6,7,10,6,14,8,12,11,5,6
"128","20782",3,5,7,13,9,10,15,12,15,18,23,17,13,17,13,23,16,13,22,17,21
"129","20783",2,4,15,23,15,16,12,17,21,25,22,20,17,27,30,37,31,23,33,41,27
"130","20784",5,12,16,21,19,18,15,20,21,37,31,29,26,35,22,33,20,33,33,49,37
"131","20785",11,17,17,19,24,30,34,50,45,61,40,49,54,60,71,46,44,54,50,59,54
"132","20787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133","20788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","20794",1,3,3,5,5,5,6,11,4,3,4,7,8,12,8,6,5,9,16,7,10
"135","20812",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"136","20814",2,1,3,3,1,0,6,5,1,5,5,8,1,2,6,3,4,2,9,2,3
"137","20815",2,0,0,0,2,2,3,2,3,4,6,5,8,7,5,1,1,2,4,3,3
"138","20816",0,1,0,2,1,2,1,1,2,0,0,1,1,1,0,0,1,3,1,0,3
"139","20817",1,2,2,5,5,8,5,6,6,5,3,2,3,6,2,3,5,2,6,9,6
"140","20818",0,0,0,0,1,0,2,0,0,1,0,0,1,2,2,0,0,1,1,0,1
"141","20825",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","20827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","20832",2,1,7,6,5,6,11,3,8,9,8,14,4,8,11,9,12,9,12,5,13
"144","20833",0,1,5,2,5,0,1,2,3,3,4,2,5,3,6,5,3,3,3,6,4
"145","20837",0,2,3,0,2,1,3,2,4,3,2,3,0,3,3,3,2,4,2,4,4
"146","20838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","20839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"148","20841",1,1,1,2,5,3,3,6,6,7,7,3,3,2,0,2,2,0,3,2,2
"149","20842",0,0,1,1,2,0,1,0,0,2,1,2,0,2,0,1,1,1,1,0,0
"150","20847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","20848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","20850",0,4,12,9,5,4,5,5,9,9,4,8,4,12,6,13,15,7,9,6,14
"153","20851",1,1,5,8,3,6,7,2,5,8,7,6,5,7,8,10,9,5,6,4,11
"154","20852",1,3,4,9,5,8,5,2,5,12,6,5,8,10,11,12,8,4,8,5,9
"155","20853",5,6,5,14,6,8,8,6,7,10,4,12,10,21,8,19,16,16,17,14,15
"156","20854",4,1,5,7,3,5,10,8,10,15,5,5,8,12,7,12,10,14,15,7,8
"157","20855",1,0,2,3,5,4,7,5,3,4,7,5,6,8,4,7,4,8,5,5,3
"158","20856",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","20857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","20860",0,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,2,0,1,2
"161","20861",0,1,1,0,0,0,2,0,0,4,0,0,1,1,2,2,2,22,3,3,1
"162","20862",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163","20866",3,3,6,10,8,7,7,4,8,8,10,4,12,10,9,12,15,13,8,12,16
"164","20868",0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"165","20871",3,5,3,5,8,2,7,8,14,12,15,13,12,17,14,14,21,18,20,15,24
"166","20872",0,1,3,6,1,2,6,9,4,5,7,5,5,7,6,7,5,4,8,7,3
"167","20873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","20874",11,14,31,22,38,18,32,22,37,52,36,38,35,39,39,40,39,38,50,46,64
"169","20875",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","20876",4,2,12,11,10,8,11,11,8,11,12,18,9,15,12,10,8,12,17,16,17
"171","20877",1,2,5,5,3,7,10,9,8,15,16,8,12,16,17,17,14,20,21,13,8
"172","20878",4,7,10,19,8,8,18,15,16,12,13,14,15,15,20,15,23,25,21,22,25
"173","20879",7,6,13,15,10,15,19,19,20,25,25,23,24,30,18,31,28,25,34,23,30
"174","20880",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"175","20882",1,3,3,3,2,1,2,4,3,6,5,4,4,6,9,7,13,9,9,13,7
"176","20886",8,4,12,17,7,12,11,12,16,24,12,16,8,18,14,16,17,25,22,30,17
"177","20889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","20892",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","20894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180","20895",5,0,3,5,6,2,2,1,7,3,1,4,3,5,6,6,3,5,3,5,2
"181","20896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"182","20898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","20899",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184","20901",3,3,4,12,7,9,14,9,11,16,18,11,9,12,17,8,9,19,11,15,17
"185","20902",4,8,6,14,9,9,6,11,10,28,19,24,18,22,20,18,14,14,16,16,30
"186","20903",0,4,3,4,6,8,5,6,5,9,7,8,4,6,4,8,7,10,8,8,12
"187","20904",5,9,22,14,15,14,19,14,28,26,20,24,18,35,20,34,31,28,21,29,27
"188","20905",0,0,5,8,8,7,3,2,5,3,8,7,6,16,9,19,11,9,9,7,10
"189","20906",7,11,19,24,22,16,29,26,23,29,31,23,30,42,33,33,25,42,44,32,23
"190","20907",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191","20910",0,1,8,3,5,2,6,3,6,5,7,1,10,10,7,9,5,7,7,9,7
"192","20912",1,2,4,7,6,4,2,3,3,10,2,5,4,11,9,9,3,12,9,7,24
"193","20913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194","20918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
